Source,Target,Relationship Type
"README.md","QUICKSTART.md","REFERENCES"
"README.md","pyproject.toml","REFERENCES"
"MANIFEST.md","logbook/LOGBOOK_STANDARDS.md","REFERENCES"
"QUICKSTART.md","quick_start_training.sh","REFERENCES"
".github/copilot-instructions.md","MANIFEST.md","REFERENCES"
"logbook/20251016_bugfix_nan_loss_lr_alpha_zero.md","scripts/train32_solution1_smoke_test_FIXED.sh","GENERATES"
"logbook/20251016_solution1_lr_scheduling_smoke_test.md","logbook/20251016_bugfix_nan_loss_lr_alpha_zero.md","REFERENCES"
"logbook/20251016_experiment2b_analysis_vs_contingency_plan.md","scripts/train32_solution1_smoke_test.sh","GENERATES"
"logbook/LOGBOOK_STANDARDS.md","logbook/TEMPLATE_logbook.md","REFERENCES"
"catatan/RENCANA_KONTINGENSI_POST_EXPERIMENT1.md","logbook/20251016_experiment2b_analysis_vs_contingency_plan.md","REFERENCES"
"scripts/train32_solution1_smoke_test_FIXED.sh","dual_modal_gan/scripts/train32.py","DEPENDS_ON"
"scripts/train32_solution1_smoke_test.sh","logbook/20251016_solution1_lr_scheduling_smoke_test.md","GENERATES"
"scripts/train32_solution1_smoke_test.sh","dual_modal_gan/scripts/train32.py","DEPENDS_ON"
"scripts/monitor_solution1_smoke.sh","scripts/train32_solution1_smoke_test_FIXED.sh","RELATED_TO"
"scripts/analyze_solution1_results.sh","scripts/monitor_solution1_smoke.sh","RELATED_TO"
"scripts/train32_continue.sh","dual_modal_gan/scripts/train32.py","DEPENDS_ON"
"quick_start_training.sh","dual_modal_gan/scripts/train32.py","DEPENDS_ON"
"dual_modal_gan/scripts/train32.py","dual_modal_gan/src/models/generator.py","DEPENDS_ON"
"dual_modal_gan/scripts/train32.py","dual_modal_gan/src/models/discriminator.py","DEPENDS_ON"
"dual_modal_gan/scripts/train32.py","dual_modal_gan/src/losses/dual_modal_loss.py","DEPENDS_ON"
"dual_modal_gan/scripts/train32.py","dual_modal_gan/data/prepare_dataset.py","DEPENDS_ON"
"dual_modal_gan/scripts/train32.py","dual_modal_gan/data/dataset_gan.tfrecord","DEPENDS_ON"
"dual_modal_gan/scripts/train32.py","models/best_htr_recognizer/best_model.weights.h5","DEPENDS_ON"
"dual_modal_gan/scripts/train32.py","dual_modal_gan/checkpoints/solution1_smoke_fixed/","GENERATES"
"dual_modal_gan/data/prepare_dataset.py","dual_modal_gan/data/dataset_gan.tfrecord","GENERATES"
"dual_modal_gan/data/prepare_dataset.py","real_data_preparation/real_data_charlist.txt","DEPENDS_ON"
"pyproject.toml","dual_modal_gan/scripts/train32.py","RELATED_TO"
